paper_id,forum_id,title,venue,accepted,scope_existence,gap_section_coverage,gap_volume_per_section,contrast_section_coverage,contrast_volume_per_section,synthesis_section_coverage,synthesis_volume_per_section,synthesis_to_summary_ratio,contribution_grounding,citation_density,citation_section_coverage,topic_breadth,content_sentence_count,integrity_internal,integrity_factual,integrity_taxonomy,integrity_argument,graph_usable,reference_ppr_mass,topic_community_coverage,graph_nodes,graph_edges,matched_citations
4,qqnttX9LPo,Causal Reinforcement Learning: A Survey,Accepted by TMLR,1,1.0,0.09803921568627451,0.23529411764705882,0.5294117647058824,1.1764705882352942,0.13725490196078433,0.19607843137254902,0.47619047619047616,1.0,0.1899886234357224,0.6862745098039216,51.0,821.0,2.0,7.0,0.0,2.0,1.0,0.5848307834138275,0.9562966633148643,1000.0,3181.0,24.0
5,uMir8UIHST,A Survey on Verifiable Cross-Silo Federated Learning,Accepted by TMLR,1,1.0,0.07142857142857142,0.14285714285714285,0.4642857142857143,1.1071428571428572,0.10714285714285714,0.14285714285714285,0.15384615384615385,1.0,0.12291666666666666,0.6428571428571429,28.0,400.0,2.0,0.0,0.0,0.0,1.0,0.5718721108734761,0.8954260075525243,1000.0,5035.0,7.0
10,Q2m6H1N2M0,On AI-centered Retrosynthetic Planning: a Survey,Rejected by TMLR,0,1.0,0.23076923076923078,0.5384615384615384,0.6923076923076923,2.076923076923077,0.07692307692307693,0.07692307692307693,0.16666666666666666,0.0,0.17793594306049823,0.7692307692307693,13.0,219.0,2.0,16.0,0.0,1.0,1.0,0.5424495363719049,0.9499986843899922,1000.0,2724.0,7.0
11,gELzFTYQDi,On permutation-invariant neural networks: A survey,Rejected by TMLR,0,1.0,0.1,0.12,0.3,0.38,0.04,0.04,0.16666666666666666,0.0,0.2796420581655481,0.68,50.0,400.0,3.0,4.0,0.0,1.0,1.0,0.5643454520402069,0.922320193336015,1000.0,3482.0,7.0
12,tc7RFcx4hT,Deep Multimodal Learning with Missing Modality: A Survey,Accepted by TMLR,1,1.0,0.0392156862745098,0.0392156862745098,0.35294117647058826,0.5686274509803921,0.11764705882352941,0.11764705882352941,0.25,1.0,0.2647527910685805,0.6862745098039216,51.0,513.0,1.0,0.0,0.0,0.0,1.0,0.5506354570260782,0.9781372786450334,1000.0,3628.0,17.0
13,r30yuDPvf2,A Survey on Transformers in Reinforcement Learning,Accepted by TMLR,1,1.0,0.13636363636363635,0.2727272727272727,0.5909090909090909,1.1818181818181819,0.045454545454545456,0.045454545454545456,0.07142857142857142,0.0,0.31761006289308175,0.6818181818181818,22.0,280.0,0.0,6.0,0.0,3.0,1.0,0.6496378863647791,0.9313632337249661,1000.0,2876.0,8.0
15,vz5P1Kbt6t,Adaptive Physics-informed Neural Networks: A Survey,Accepted by TMLR,1,1.0,0.18181818181818182,0.29545454545454547,0.5227272727272727,1.1590909090909092,0.11363636363636363,0.18181818181818182,0.6153846153846154,1.0,0.09576427255985268,0.5909090909090909,44.0,470.0,0.0,1.0,0.0,1.0,1.0,0.5008108577201466,0.7692562962831798,1000.0,4475.0,7.0
17,mcN0ezbnzO,"Provably Safe Reinforcement Learning: Conceptual Analysis, Survey, and Benchmarking",Accepted by TMLR,1,1.0,0.17142857142857143,0.2571428571428571,0.37142857142857144,0.7428571428571429,0.05714285714285714,0.05714285714285714,0.125,1.0,0.18714555765595464,0.6,35.0,427.0,0.0,1.0,0.0,3.0,1.0,0.559997269125544,0.9039191841490029,1000.0,3794.0,24.0
19,xAIbTbHRrX,A Survey of Model Architectures in Information Retrieval,Accepted by TMLR,1,1.0,0.13414634146341464,0.1951219512195122,0.43902439024390244,0.7317073170731707,0.06097560975609756,0.06097560975609756,0.2777777777777778,0.0,0.4573002754820937,0.8292682926829268,82.0,692.0,0.0,2.0,0.0,0.0,1.0,0.583513474634217,0.9965071795982713,1000.0,2356.0,17.0
22,xChvYjvXTp,Large Language Model-Brained GUI Agents: A Survey,Accepted by TMLR,1,1.0,0.14285714285714285,0.17532467532467533,0.24675324675324675,0.34415584415584416,0.18181818181818182,0.22727272727272727,0.4375,1.0,0.0794392523364486,0.33116883116883117,154.0,1655.0,2.0,0.0,0.0,1.0,1.0,0.804623574863684,0.9999999999174027,1000.0,1169.0,7.0
23,jh7wH2AzKK,Augmented Language Models: a Survey,Accepted by TMLR,1,1.0,0.06060606060606061,0.06060606060606061,0.5151515151515151,0.9696969696969697,0.12121212121212122,0.18181818181818182,0.4,0.0,0.23657718120805368,0.7878787878787878,33.0,476.0,0.0,1.0,0.0,0.0,1.0,0.8247028888401229,0.8868951603338489,1000.0,2209.0,8.0
25,eqNchtvc6v,Discrete Audio Tokens: More Than a Survey!,Accepted by TMLR,1,1.0,0.08450704225352113,0.11267605633802817,0.36619718309859156,0.5915492957746479,0.15492957746478872,0.18309859154929578,0.5652173913043478,1.0,0.1865482233502538,0.6056338028169014,71.0,573.0,0.0,3.0,0.0,5.0,1.0,0.7848811805436601,0.9278777180915422,1000.0,1752.0,19.0
26,3cbJzdR78B,A Comprehensive Survey on Knowledge Distillation,Accepted by TMLR,1,1.0,0.07692307692307693,0.08791208791208792,0.34065934065934067,0.4945054945054945,0.13186813186813187,0.13186813186813187,0.5217391304347826,0.0,0.44866920152091255,0.7032967032967034,91.0,699.0,0.0,0.0,0.0,0.0,1.0,0.5652761085119731,0.9143190671480639,1000.0,5473.0,34.0
27,DFnPi77v6J,Augmented Vision-Language Models: A Systematic Review,Accepted by TMLR,1,1.0,0.17857142857142858,0.21428571428571427,0.125,0.16071428571428573,0.0,0.0,0.0,0.0,0.36694677871148457,0.5,56.0,303.0,2.0,1.0,0.0,2.0,1.0,0.6086797719888875,0.8569221663317604,1000.0,2623.0,4.0
28,f7OkIurx4b,A Survey of Reinforcement Learning from Human Feedback,Accepted by TMLR,1,1.0,0.07608695652173914,0.15217391304347827,0.5217391304347826,1.2391304347826086,0.06521739130434782,0.07608695652173914,0.22580645161290322,1.0,0.22121896162528218,0.7391304347826086,92.0,1285.0,0.0,5.0,0.0,0.0,1.0,0.6641591919667671,0.9700611865792895,1000.0,2868.0,16.0
30,tf6A9EYMo6,Personalization of Large Language Models: A Survey,Accepted by TMLR,1,1.0,0.10112359550561797,0.20224719101123595,0.33707865168539325,0.6404494382022472,0.12359550561797752,0.15730337078651685,0.25925925925925924,1.0,0.23529411764705882,0.449438202247191,89.0,870.0,1.0,0.0,0.0,2.0,1.0,0.5819790232785584,0.9446924957837893,1000.0,4192.0,18.0
32,rJSHjhEYJx,Video Diffusion Models: A Survey,Accepted by TMLR,1,1.0,0.1206896551724138,0.15517241379310345,0.41379310344827586,0.7931034482758621,0.05172413793103448,0.06896551724137931,0.2222222222222222,0.0,0.15546218487394958,0.7068965517241379,58.0,686.0,3.0,0.0,0.0,0.0,1.0,0.6133757507625096,0.9600165555812041,1000.0,4034.0,12.0
33,EExMEgReAT,GANs Class-Conditioning Methods: A Survey,Rejected by TMLR,0,1.0,0.13333333333333333,0.13333333333333333,0.36666666666666664,0.5,0.16666666666666666,0.3,0.6,1.0,0.17701863354037267,0.6333333333333333,30.0,279.0,1.0,1.0,0.0,1.0,1.0,0.5385804790561516,0.9345585395399967,1000.0,2146.0,6.0
34,nYjSkOy8ij,A Survey on Out-of-Distribution Detection in NLP,Accepted by TMLR,1,1.0,0.1111111111111111,0.2222222222222222,0.2962962962962963,0.5925925925925926,0.1111111111111111,0.1111111111111111,0.21428571428571427,1.0,0.26755852842809363,0.7037037037037037,27.0,276.0,3.0,0.0,0.0,2.0,1.0,0.6694695709907592,0.9643750354204161,1000.0,4438.0,9.0
35,ewwNKwh6SK,Conditional Image Synthesis with Diffusion Models: A Survey,Accepted by TMLR,1,1.0,0.015625,0.03125,0.375,0.5,0.015625,0.015625,0.047619047619047616,0.0,0.30711610486891383,0.71875,64.0,492.0,1.0,2.0,0.0,1.0,1.0,0.6183350317283886,0.9440982584957591,1000.0,4046.0,7.0
