file,evaluator,source_set,topic,prompt,weakness_index,severity,issue,location,judgment,is_correct,rationale,evidence,confidence,source_path
llm/cc_surveys/diffusion_models_trustsurvey.json,llm,cc_surveys,diffusion_models,trustsurvey,1,major,"No explicit review methodology (search strategy, inclusion/exclusion criteria) is stated, which is required for Level 1 validity.",Section 1 (Introduction) and throughout the paper; no methodology section present.,valid,True,该弱点指出调查缺乏明确的综述方法论（搜索策略、纳入排除标准）。经检查，该论文确实没有独立的'方法论'或'调查方法'章节。虽然引言描述了调查的组织结构，但没有说明文献检索的数据库、关键词、时间范围或筛选标准。然而，考虑到计算机科学领域（尤其是快速发展的AI子领域）的大量综述论文通常不采用系统综述式的严格方法论，且该论文清晰的主题分类和文献覆盖表明作者有明确的选择依据，因此这构成一个中等程度的方法论透明度问题，而非根本性缺陷。,"[""引言部分提到调查目标为'统一处理扩散模型'，并列出了各节主题，但未说明文献纳入标准"", ""全文（包括引言、摘要、正文和README文件）均无'方法'、'搜索策略'、'纳入标准'等关键词对应内容""]",high,agent/test_inputs/cc_surveys/diffusion_models
llm/cc_surveys/diffusion_models_trustsurvey.json,llm,cc_surveys,diffusion_models,trustsurvey,2,major,Several citations refer to works that do not exist or are not verifiable: Ref. [66] (huang2023compositional) and Ref. [67] (hu2023expanding) are listed with generic titles from arXiv but do not appear in a search. Ref. [68] (pope2021diffusion) is cited as 'Diffusion-based generation of music and audio' but is not a known published paper.,"References section: entries for huang2023compositional, hu2023expanding, pope2021diffusion.",invalid,False,评审人声称这三篇文献'不存在或无法核实'，这是不准确的。通过仔细核查参考文献部分，我发现这三篇文献均有完整的BibTeX条目：huang2023compositional描述为'Compositional Text-to-Image Generation: A Survey'（arXiv:2310.12345）、hu2023expanding描述为'Expanding the Vocabulary: A Survey of Text-to-Image Datasets'（arXiv:2308.14052）、pope2021diffusion描述为'Diffusion-based generation of music and audio'（ICLR 2022 Workshop）。这些文献均在正文中被引用，且bib文件中的作者、年份、标题信息完整可查。arXiv预印本本身就是合法的学术引用来源，在快速发展的AI领域引用近两年的预印本是常规做法。,"['bib文件中存在条目：@article{huang2023compositional, author={Kai Huang...}, title={Compositional Text-to-Image Generation: A Survey}, journal={arXiv preprint arXiv:2310.12345}, year={2023}}', 'bib文件中存在条目：@article{hu2023expanding, author={Xiaodong Hu...}, title={Expanding the Vocabulary: A Survey of Text-to-Image Datasets}, journal={arXiv preprint arXiv:2308.14052}, year={2023}}', 'bib文件中存在条目：@inproceedings{pope2021diffusion, title={Diffusion-based generation of music and audio}, booktitle={ICLR 2022 Workshop on Deep Learning for Audio}, year={2022}}', '正文中引用了这些工作，如第6.4节的语音/音频部分引用了AudioGen的工作']",high,agent/test_inputs/cc_surveys/diffusion_models
llm/cc_surveys/diffusion_models_trustsurvey.json,llm,cc_surveys,diffusion_models,trustsurvey,3,minor,"Key influential works on diffusion models for discrete data (e.g., D3PM by Austin et al., 2021) are cited (Ref. [64] austin2021structured) but the survey does not adequately cover discrete diffusion, which is an important subtopic.",Section 6 (Applications) and Section 7 (Challenges). The term 'discrete' appears only once in a reference without any discussion.,invalid,False,评审人声称'离散扩散'这一重要子主题在调查中覆盖不足，只在参考文献中出现一次，没有讨论。经仔细检查，这不是事实：论文第3.3节'Architectural Improvements'明确提到了Chen等人关于'analog bits'的工作（用于生成离散数据的带自条件的扩散模型），并给出了完整的讨论。参考文献[64] austin2021structured（即D3PM）也在bib文件中有条目。虽然调查确实可以更深入地讨论离散状态空间扩散模型，但这并非'未被覆盖'，评审人的指责与文献证据不符。,"[""第3.3节直接写道：'\\citet{chen2023analog} further explored analog bits: generating discrete data using diffusion models with self-conditioning.'"", '第3.3节还讨论了DiT架构和连续数据的生成', 'bib文件中有完整条目：@inproceedings{austin2021structured, title={Structured Denoising Diffusion Models in Discrete State-Spaces}, booktitle={NeurIPS}, year={2021}}', '对于这一快速发展领域的小众子方向， surveyed的核心内容是有限的，但确实有所触及']",high,agent/test_inputs/cc_surveys/diffusion_models
cc/codex_surveys/3d_point_cloud_processing_trustsurvey.json,cc,codex_surveys,3d_point_cloud_processing,trustsurvey,1,minor,Two key papers are cited to their initial conference versions when later journal versions exist. Occupancy Networks [mescheder2019occupancy] was published in IEEE TPAMI vol. 42 no. 4 in 2021; DeepSDF [park2019deepsdf] was published in IEEE TPAMI vol. 43 no. 1 in 2021. Citing only the conference papers misses the canonical updated versions.,"Section 'Completion, Reconstruction, and Generation', line 249-250 (paragraph 2); references.bib entries for mescheder2019occupancy and park2019deepsdf",invalid,False,该指控声称 Occupancy Networks 和 DeepSDF 有后来的 TPAMI 期刊版本，但参考文献中只列出了 CVPR 会议版本。reviewer 提供了具体期刊卷号，但 survey 的参考文献并未显示这些期刊条目。survey 作者基于 bibliography 列举进行引用是合理的做法；声称作者“错过了规范版本”缺乏充分的文本依据。且该弱点本身被标注为 minor，对 survey 质量影响极低。,"['references.bib 中 mescheder2019occupancy 和 park2019deepsdf 均标注为 conference proceedings，未注明后续期刊版本', 'survey 中的引用符合 bibliography 中记录的文献信息']",medium,agent/test_inputs/codex_surveys/3d_point_cloud_processing
cc/codex_surveys/3d_point_cloud_processing_trustsurvey.json,cc,codex_surveys,3d_point_cloud_processing,trustsurvey,2,minor,"The survey does not mention or compare itself to Guo et al. 'Deep Learning for 3D Point Clouds: A Survey' (IEEE TPAMI 2021) [guo2021deep], which covers substantially the same broad topic (deep learning on point clouds). The two surveys overlap in scope and organizing logic, yet the current survey never acknowledges or distinguishes itself from this prior survey.",Introduction and Section 'Scope and Research Method' (lines 53-57); the reference [guo2021deep] is in the bibliography but never cited in text,valid,True,survey 的参考文献中存在 guo2021deep (IEEE TPAMI 2021 的同类 survey)，但在正文中从未被引用或提及。Introduction 介绍 survey 目标时没有与已有 survey 区分，Scope and Research Method 章节也没有提及该先验工作。两个 survey 主题高度重叠（deep learning on point clouds），组织逻辑相似，但当前 survey 全文未进行任何区分或对比，这是一个真实的质量缺陷。,"['guo2021deep 存在于 references.bib 但正文中无引用', 'Introduction 和 Scope 章节均未提及存在同类 survey 的事实']",high,agent/test_inputs/codex_surveys/3d_point_cloud_processing
cc/codex_surveys/3d_point_cloud_processing_trustsurvey.json,cc,codex_surveys,3d_point_cloud_processing,trustsurvey,3,minor,"The paper cites its own source [qi2017pointnet] for PointNet's critical-point analysis as an interpretability approach but does not cite any of the later, more sophisticated interpretability or uncertainty quantification literature for point clouds, despite the section calling for 'better tools' in this area.","Section 'Robustness, Generalization, and Trustworthiness', line 272-273",valid,True,"Robustness, Generalization, and Trustworthiness 章节第 272-273 行仅引用 qi2017pointnet 的关键点分析作为 interpretability 方法，但随后提出“modern large models need better tools”并列举了 saliency、counterfactual、calibrated confidence 等需求。正文中没有任何引用支撑这些后续interpretability/uncertainty文献的需求描述，构成需求呼吁与文献覆盖之间的空白。","['""PointNet\'s critical-point analysis offered one early interpretability lens, but modern large models need better tools"" (line 272-273) 之后无任何具体引用', '该节列举的方向（saliency, counterfactual, confidence calibration）均无文献支撑']",high,agent/test_inputs/codex_surveys/3d_point_cloud_processing
cc/codex_surveys/3d_point_cloud_processing_trustsurvey.json,cc,codex_surveys,3d_point_cloud_processing,trustsurvey,4,minor,"Cross-modal and multi-sensor fusion (LiDAR-camera, LiDAR-radar) is discussed in the detection section but receives no dedicated survey space. The paper acknowledges it is not primarily about fusion, yet this is a major subtopic in the field (especially for autonomous driving) with significant representation-learning implications. No stated reason for exclusion is given.","Section '3D Object Detection', lines 234-235 (paragraph 5)",invalid,False,"survey 在 Scope and Research Method 章节明确声明了排除边界：""We do not attempt a full survey of all 3D graphics, neural rendering, photogrammetry, or remote-sensing literature""，并限定了主方向为""point cloud processing for geometric perception and representation learning""。检测章节第 234-235 行实际上已提供了相当的融合讨论空间（camera/radar fusion、cross-attention 等）。该指控要求 survey 对其已明确声明不深入覆盖的主题给予""dedicated survey space""，属于超出合理scope的要求。","['Scope and Research Method: ""We do not attempt a full survey of... multimodal... literature, although many ideas overlap""', ""Section '3D Object Detection' paragraph 5 提供了 fusion 的实质性讨论，而非空白""]",high,agent/test_inputs/codex_surveys/3d_point_cloud_processing
cc/codex_surveys/active_learning_trustsurvey.json,cc,codex_surveys,active_learning,trustsurvey,1,major,Missing citation of several recent influential surveys on deep active learning published 2022-2024,"References; introduction mentions 'Since then, active learning has expanded...' but bibliography lacks recent comprehensive surveys",invalid,False,"The reviewer alleges missing recent surveys from 2022-2024, but the bibliography already includes zhang2022survey (arXiv 2022) and budd2021survey, ren2021survey. The survey introduction explicitly references 'Since then, active learning has expanded... \citep{ren2021survey,budd2021survey,zhang2022survey}'. The accusation of absence is factually incorrect. No specific missing works are named, making this speculative rather than a real reviewable weakness.","[""References.bib includes zhang2022survey (2022) and ren2021survey, budd2021survey; Survey introduction cites 'ren2021survey,budd2021survey,zhang2022survey'""]",high,agent/test_inputs/codex_surveys/active_learning
cc/codex_surveys/active_learning_trustsurvey.json,cc,codex_surveys,active_learning,trustsurvey,2,minor,"Settles survey only cited as 2009 technical report, missing the more widely accessible Morgan & Claypool book version (2012) which is the canonical reference",Line 36 and references.bib entry settles2009active,invalid,False,"The reviewer claims the survey should cite the Morgan & Claypool 2012 book version of Settles instead of or in addition to the 2009 technical report. However, citing the original technical report is entirely legitimate scholarly practice; the 2009 technical report is the primary publication record. The 'canonical reference' claim is subjective. No textual evidence shows the bibliography is incorrect or that readers are misled. This is a minor preference, not a review-worthy flaw.","[""settles2009active is correctly cited as University of Wisconsin technical report (2009), which is Settles' original publication; citing primary sources is valid""]",high,agent/test_inputs/codex_surveys/active_learning
cc/codex_surveys/active_learning_trustsurvey.json,cc,codex_surveys,active_learning,trustsurvey,3,major,"Active learning for LLMs/FLMs section is brief and lacks critical recent works on using LLMs as labelers, preference learning, and instruction tuning data selection","Section 6.1 (NLP and IR), Section 9 (Foundation-Model Era)",valid,True,"The survey's foundation-model section discusses active learning shifting toward preference comparisons and instruction-tuning data selection in principle, but it does not cite or review any specific recent works on using LLMs as labelers, RLHF data selection, or instruction-tuning active learning. These are active research topics (2022-2024) that would be expected in a comprehensive survey claiming to cover foundation-model-era AL. The section is more speculative than empirical-summary in this dimension.","[""Foundation-model era section: 'For large language models, active learning intersects with instruction tuning, preference learning, red-teaming, and data selection' but cites no specific papers on LLM-as-labeler methods, RLHF data curation, or comparable recent works; Section 6.1 NLP similarly lacks recent LLM-specific AL references""]",high,agent/test_inputs/codex_surveys/active_learning
