paper_id,forum_id,title,venue,venue_id,accepted,scope_existence,gap_section_coverage,gap_volume_per_section,contrast_section_coverage,contrast_volume_per_section,synthesis_section_coverage,synthesis_volume_per_section,synthesis_to_summary_ratio,contribution_grounding,citation_density,citation_section_coverage,topic_breadth,content_sentence_count,integrity_internal,integrity_factual,integrity_taxonomy,integrity_argument
4,qqnttX9LPo,Causal Reinforcement Learning: A Survey,Accepted by TMLR,TMLR,1,1.0,0.09803921568627451,0.23529411764705882,0.5294117647058824,1.1764705882352942,0.13725490196078433,0.19607843137254902,0.47619047619047616,1.0,0.1899886234357224,0.6862745098039216,51.0,821.0,2.0,7.0,0.0,2.0
5,uMir8UIHST,A Survey on Verifiable Cross-Silo Federated Learning,Accepted by TMLR,TMLR,1,1.0,0.07142857142857142,0.14285714285714285,0.4642857142857143,1.1071428571428572,0.10714285714285714,0.14285714285714285,0.15384615384615385,1.0,0.12291666666666666,0.6428571428571429,28.0,400.0,2.0,0.0,0.0,0.0
10,Q2m6H1N2M0,On AI-centered Retrosynthetic Planning: a Survey,Rejected by TMLR,TMLR/Rejected,0,1.0,0.23076923076923078,0.5384615384615384,0.6923076923076923,2.076923076923077,0.07692307692307693,0.07692307692307693,0.16666666666666666,0.0,0.17793594306049823,0.7692307692307693,13.0,219.0,2.0,16.0,0.0,1.0
11,gELzFTYQDi,On permutation-invariant neural networks: A survey,Rejected by TMLR,TMLR/Rejected,0,1.0,0.1,0.12,0.3,0.38,0.04,0.04,0.16666666666666666,0.0,0.2796420581655481,0.68,50.0,400.0,3.0,4.0,0.0,1.0
12,tc7RFcx4hT,Deep Multimodal Learning with Missing Modality: A Survey,Accepted by TMLR,TMLR,1,1.0,0.0392156862745098,0.0392156862745098,0.35294117647058826,0.5686274509803921,0.11764705882352941,0.11764705882352941,0.25,1.0,0.2647527910685805,0.6862745098039216,51.0,513.0,1.0,0.0,0.0,0.0
13,r30yuDPvf2,A Survey on Transformers in Reinforcement Learning,Accepted by TMLR,TMLR,1,1.0,0.13636363636363635,0.2727272727272727,0.5909090909090909,1.1818181818181819,0.045454545454545456,0.045454545454545456,0.07142857142857142,0.0,0.31761006289308175,0.6818181818181818,22.0,280.0,0.0,6.0,0.0,3.0
15,vz5P1Kbt6t,Adaptive Physics-informed Neural Networks: A Survey,Accepted by TMLR,TMLR,1,1.0,0.18181818181818182,0.29545454545454547,0.5227272727272727,1.1590909090909092,0.11363636363636363,0.18181818181818182,0.6153846153846154,1.0,0.09576427255985268,0.5909090909090909,44.0,470.0,0.0,1.0,0.0,1.0
16,f9QWh3lZIt,Survey of Scientific Rigor Studied in Machine Learning,Rejected by TMLR,TMLR/Rejected,0,1.0,0.0,0.0,0.18518518518518517,0.3333333333333333,0.18518518518518517,0.25925925925925924,0.3888888888888889,1.0,0.32684824902723736,0.5185185185185185,27.0,225.0,1.0,0.0,0.0,1.0
17,mcN0ezbnzO,"Provably Safe Reinforcement Learning: Conceptual Analysis, Survey, and Benchmarking",Accepted by TMLR,TMLR,1,1.0,0.17142857142857143,0.2571428571428571,0.37142857142857144,0.7428571428571429,0.05714285714285714,0.05714285714285714,0.125,1.0,0.18714555765595464,0.6,35.0,427.0,0.0,1.0,0.0,3.0
19,xAIbTbHRrX,A Survey of Model Architectures in Information Retrieval,Accepted by TMLR,TMLR,1,1.0,0.13414634146341464,0.1951219512195122,0.43902439024390244,0.7317073170731707,0.06097560975609756,0.06097560975609756,0.2777777777777778,0.0,0.4573002754820937,0.8292682926829268,82.0,692.0,0.0,2.0,0.0,0.0
22,xChvYjvXTp,Large Language Model-Brained GUI Agents: A Survey,Accepted by TMLR,TMLR,1,1.0,0.14285714285714285,0.17532467532467533,0.24675324675324675,0.34415584415584416,0.18181818181818182,0.22727272727272727,0.4375,1.0,0.0794392523364486,0.33116883116883117,154.0,1655.0,2.0,0.0,0.0,1.0
