category,paper_id,observed_concern,risk_vote
gap,1,0,1.0
gap,2,0,1.0
gap,3,0,0.4
gap,4,1,0.4
gap,5,0,1.0
gap,6,0,1.0
gap,7,1,1.0
gap,8,1,1.0
gap,9,1,0.0
gap,10,1,0.0
gap,11,1,1.0
gap,12,1,1.0
gap,13,0,0.0
gap,14,0,1.0
gap,15,1,0.0
gap,16,1,1.0
gap,17,1,0.0
gap,18,1,0.0
gap,19,0,0.2
gap,20,0,1.0
gap,21,1,0.0
gap,22,1,0.6
gap,23,1,1.0
gap,24,1,1.0
gap,25,0,1.0
gap,26,1,1.0
gap,27,1,0.0
gap,28,1,1.0
gap,29,0,1.0
gap,30,0,1.0
gap,31,0,1.0
gap,32,1,1.0
gap,33,0,1.0
gap,34,1,0.2
gap,35,0,1.0
gap,36,0,1.0
gap,38,1,1.0
gap,39,1,0.0
gap,40,0,0.0
gap,41,1,1.0
gap,42,0,0.0
gap,43,1,1.0
gap,44,0,0.2
gap,45,0,1.0
gap,46,1,1.0
gap,47,0,1.0
gap,48,0,0.0
gap,49,1,1.0
gap,50,0,1.0
gap,51,1,0.0
gap,52,0,1.0
gap,53,0,1.0
gap,54,1,0.0
gap,55,0,1.0
gap,56,1,1.0
gap,57,1,1.0
gap,58,1,0.8
gap,59,1,0.6
gap,60,0,1.0
gap,61,1,0.6
gap,62,1,1.0
gap,63,1,0.2
gap,64,1,1.0
gap,65,0,1.0
gap,66,0,0.8
gap,67,1,1.0
gap,68,1,0.0
gap,69,0,1.0
gap,70,1,0.0
gap,71,1,1.0
gap,72,1,1.0
gap,73,1,1.0
gap,74,0,1.0
gap,75,1,0.0
gap,76,1,0.0
gap,77,0,1.0
gap,78,0,1.0
gap,79,1,0.0
gap,80,1,0.0
gap,81,1,1.0
gap,82,0,1.0
gap,83,1,1.0
gap,84,0,1.0
gap,85,0,1.0
gap,86,1,1.0
gap,87,1,1.0
gap,88,1,0.0
gap,89,1,0.0
gap,90,1,1.0
gap,91,1,0.0
gap,92,0,0.2
gap,93,0,0.0
gap,94,0,1.0
gap,95,1,1.0
gap,96,0,0.0
gap,97,1,0.8
gap,98,0,1.0
gap,99,0,1.0
gap,100,1,1.0
gap,101,0,0.0
gap,102,1,1.0
gap,103,0,0.0
gap,104,1,0.2
gap,105,1,1.0
gap,106,0,1.0
gap,107,0,0.2
gap,108,1,1.0
gap,109,1,0.0
gap,110,1,1.0
gap,111,0,1.0
gap,112,0,1.0
gap,113,0,0.0
gap,114,0,0.0
gap,115,1,1.0
gap,116,0,0.2
gap,117,1,1.0
gap,118,1,1.0
gap,122,1,0.0
gap,123,0,0.0
gap,124,0,1.0
gap,126,1,1.0
gap,130,0,1.0
gap,132,1,1.0
gap,133,0,0.0
gap,134,0,0.8
gap,135,1,1.0
gap,136,0,0.6
gap,137,1,0.0
gap,138,1,1.0
gap,139,1,0.0
gap,140,0,1.0
gap,142,0,1.0
gap,143,0,1.0
gap,144,0,0.0
gap,145,0,1.0
gap,146,1,0.6
gap,147,0,1.0
gap,148,0,0.8
gap,149,1,1.0
gap,150,1,0.8
gap,151,0,0.2
gap,152,1,1.0
gap,153,1,1.0
gap,154,1,1.0
gap,155,0,1.0
gap,156,0,1.0
gap,157,0,1.0
gap,158,0,0.0
gap,159,1,1.0
gap,160,0,0.2
gap,161,1,0.4
gap,162,0,1.0
gap,164,1,1.0
gap,165,0,1.0
gap,166,0,0.0
gap,167,0,1.0
gap,168,1,0.6
gap,169,0,0.0
gap,170,0,0.0
gap,171,0,0.6
gap,172,0,1.0
gap,173,0,1.0
gap,174,0,1.0
gap,175,0,1.0
gap,176,0,0.0
gap,177,0,0.8
gap,178,0,0.0
gap,179,0,0.0
gap,180,0,0.0
contrast,1,0,1.0
contrast,2,0,1.0
