graph_edges,keyword_filter_relaxed,local_citations,matched_citations,paper_id,pool_nodes,query,query_source,returned_results,status,title
2666,False,98,26,1,1000,algorithmic recourse,title_rule,196,cached,Grounding and Validation of Algorithmic Recourse in Real-World Contexts: A Systematized Literature Review
3246,False,190,10,2,1000,deep learning theorem proving,title_rule,195,cached,A Survey on Deep Learning for Theorem Proving
4192,False,32,10,3,1000,large language models,title_rule,195,cached,"Systematic Review of Large Language Models: Applications, Limitations, Practical Usages and Future Directions"
3181,False,167,24,4,1000,causal reinforcement learning,r5_history,192,cached,Causal Reinforcement Learning: A Survey
5035,False,59,12,5,1000,verifiable cross-silo federated learning,r5_history,192,cached,A Survey on Verifiable Cross-Silo Federated Learning
1971,False,73,6,6,1000,flow matching,title_rule,196,cached,A Survey of Flow Matching in Reinforcement Learning
1791,False,136,12,7,1000,multimodal automated fact checking,title_rule,194,cached,Multimodal Automated Fact-Checking: A Survey
1470,False,44,2,8,1000,neurips dataset management practices,title_rule,197,cached,A Systematic Review of NeurIPS Dataset Management Practices
2263,False,113,4,9,1000,retrieval augmented multimodal generation,r5_history,189,cached,Retrieving Multimodal Information for Augmented Generation: A Survey
2724,False,54,7,10,1000,AI retrosynthetic planning,r5_history,184,cached,On AI-centered Retrosynthetic Planning: a Survey
3482,False,139,9,11,1000,permutation invariant neural networks,title_rule,186,cached,On permutation-invariant neural networks: A survey
3628,False,177,17,12,1000,missing modality multimodal learning,r5_history,194,cached,Deep Multimodal Learning with Missing Modality: A Survey
2876,False,103,8,13,1000,transformers in reinforcement learning,r5_history,195,cached,A Survey on Transformers in Reinforcement Learning
3001,False,74,8,14,1000,multi dimensional bin packing problem,title_rule,197,cached,Machine Learning for the Multi-Dimensional Bin Packing Problem: Literature Review and Empirical Evaluation
4475,False,55,7,15,1000,adaptive physics informed neural networks,title_rule,194,cached,Adaptive Physics-informed Neural Networks: A Survey
1258,False,84,0,16,1000,scientific rigor studied,title_rule,194,cached,Survey of Scientific Rigor Studied in Machine Learning
3794,False,107,40,17,1000,safe reinforcement learning,r5_history,194,cached,"Provably Safe Reinforcement Learning: Conceptual Analysis, Survey, and Benchmarking"
4262,False,123,6,18,1000,explainable visual forgery detection,title_rule,198,cached,Explainable Visual Forgery Detection: A Survey
2356,False,336,19,19,1000,information retrieval model architectures,r5_history,187,cached,A Survey of Model Architectures in Information Retrieval
1792,False,105,19,20,1000,abstraction reasoning corpus,title_rule,192,cached,A Survey on the Abstraction and Reasoning Corpus
1120,False,39,6,21,1000,LLM GUI agents benchmark,r5_history,185,cached,A Survey on Benchmarks of LLM-based GUI Agents
