file,evaluator,source_set,topic,prompt,weakness_index,severity,issue,location,judgment,is_correct,rationale,evidence
cc/cc_surveys/active_learning_arise.json,cc,cc_surveys,active_learning,arise,1,moderate,"Some reference entries are incomplete or incorrectly formatted (e.g., author names truncated or missing)","references.bib: 726: 'Bryce C. M.' and others; 802: 'Hayley M. S. and John D. B.'; 863, 866: truncated author initials",,,,
cc/cc_surveys/active_learning_arise.json,cc,cc_surveys,active_learning,arise,2,minor,"The survey does not cite its own authors/institution, leaving author field empty in the BibTeX",README.md lines 61-66: author and institution fields are empty,,,,
cc/cc_surveys/active_learning_arise.json,cc,cc_surveys,active_learning,arise,3,minor,"While mentioning LLM applications, the coverage of prompt-based/chat-based active learning is relatively brief given the rapid development in this area",Section 8.1 (LLM): only 2-3 paragraphs covering this extensive topic,,,,
cc/cc_surveys/active_learning_plain.json,cc,cc_surveys,active_learning,plain,1,severe,"Missing author information — the author field is a bare 'Literature Survey' table with no actual author names, affiliations, or contact information, which is a fundamental omission for any academic submission.","Title/author block, lines 43-48",,,,
cc/cc_surveys/active_learning_plain.json,cc,cc_surveys,active_learning,plain,2,severe,"Many bibliographic entries lack required fields, including page numbers, publisher information, and venue details. Several arXiv preprints lack arXiv IDs. This undermines the bibliography's usefulness as a reference resource.","references.bib: entries such as zhang2024active (no arXiv ID, year listed as 2401), gilardi2023chatgpt (no arXiv ID), venkataramanan2024multimodal (no arXiv ID), houlsby2011bayesian, ganassali2022causal, wiewiora2023active, gao2024active, korovina2019active (all lack arXiv/full venue details), settlements2011active (missing pages), teso2016alchem (author name includes typo: 'Paolo G. M.'), rai2010domain (missing pages), ragoza2017active (author names truncated: 'Hayley M. S. and John D. B.')",,,,
cc/cc_surveys/active_learning_plain.json,cc,cc_surveys,active_learning,plain,3,severe,"No empirical comparison or performance benchmarks of the various query strategies is provided. The survey describes each method qualitatively but never compares them quantitatively on common benchmarks, leaving readers unable to assess relative effectiveness.",Section 3 (Query Strategy Frameworks) and Section 6 (Deep Active Learning) — descriptions are purely qualitative,,,,
cc/cc_surveys/active_learning_plain.json,cc,cc_surveys,active_learning,plain,4,moderate,"The survey lacks critical evaluation of the methods it describes. Each section reads as a descriptive literature review rather than an analytical one. There is no discussion of when specific strategies fail, empirical trends, or trade-offs beyond computational cost.","Throughout, but especially Section 3 and Section 6",,,,
cc/cc_surveys/active_learning_plain.json,cc,cc_surveys,active_learning,plain,5,moderate,Several citations appear incorrect or unreliable: krizhevsky2012imagenet incorrectly lists NeurIPS 2012 (correctly listed in the same paper's bibliography as 'Advances in Neural Information Processing Systems 25'); settlements2011active has no venue detail beyond 'Semi-Supervised and Active Learning for NLP' — a workshop rather than a full publication.,"references.bib: krizhevsky2012imagenet, settlements2011active",,,,
cc/cc_surveys/active_learning_plain.json,cc,cc_surveys,active_learning,plain,6,moderate,"The manuscript lacks experimental figures, plots, or data tables beyond the algorithmic loop diagram and strategy summary table. A survey of this length (900+ lines) would benefit from comparative empirical visualizations.",Paper-wide — only Figure 1 (loop diagram) and Table 1 (strategy summary) are present,,,,
cc/cc_surveys/active_learning_trustsurvey.json,cc,cc_surveys,active_learning,trustsurvey,1,moderate,"Scope and inclusion-criteria declaration missing. The survey claims to be 'comprehensive' but does not describe search strategy, time span, venue scope, inclusion/exclusion criteria, or how literature was selected.","Abstract and Section 1 (Introduction) - 'This survey provides a comprehensive, self-contained overview' but no methodology described.",,,,
