evidence,matched_node,paper_id,ppr,rank,reviewer,status,title
"I would like to point out some potential additional papers on algorithmic recourse which could complement some remarks made by the authors: - Line 182 ""We did not identify any applications evaluated with humans in the loop"": there has been some development in providing human-in-the-loop algorithms to identify better recourse options: - [1] De Toni, Giovanni, et al. ""Personalized Algorithmic Recourse with Preference Elicitation."" Transactions on Machine Learning Research, https://openreview.net/forum?id=8sg2I9zXgO - Recommendation 4, ""Accounting for emergent effects"": there has been some research regarding providing recourse to multiple individuals, where they are competing for a limited pool of resources, looking also at the fairness of these systems: - [2] Fonseca, João, et al. ""Setting the right expectations: Algorithmic recourse over time."" Proceedings of the 3rd ACM Conference on Equity and Access in Algorithms, Mechanisms, and Optimization. https://dl.acm.org/doi/pdf/10.1145/3617694.3623251 - [3] Bell, Andrew, et al. ""Fairness in Algorithmic Recourse Through the Lens of Substantive Equality of Opportunity."" arXiv preprint arXiv:2401.16088, https://arxiv.org/pdf/2401.16088 - I also point the authors to some new papers considering human-in-the-loop interfaces for recourse (Recommendation 1, Section 5.1): - [4] Esfahani, Seyedehdelaram, et al. ""Preference Elicitation in Interactive and User-centered Algorithmic Recourse: an Initial Exploration."" Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization. https://dl.acm.org/doi/pdf/10.1145/3627043.3659556 - [5] Koh, Seunghun, Byung Hyung Kim, and Sungho Jo. ""Understanding the User Perception and Experience of Interactive Algorithmic Recourse Customization."" ACM Transactions on Computer-Human Interaction. https://dl.acm.org/doi/pdf/10.1145/3674503",W4281984045,1,0.0,94,6I6fXRTVjm,pool_candidate,Personalized Algorithmic Recourse with Preference Elicitation.
"I would like to point out some potential additional papers on algorithmic recourse which could complement some remarks made by the authors: - Line 182 ""We did not identify any applications evaluated with humans in the loop"": there has been some development in providing human-in-the-loop algorithms to identify better recourse options: - [1] De Toni, Giovanni, et al. ""Personalized Algorithmic Recourse with Preference Elicitation."" Transactions on Machine Learning Research, https://openreview.net/forum?id=8sg2I9zXgO - Recommendation 4, ""Accounting for emergent effects"": there has been some research regarding providing recourse to multiple individuals, where they are competing for a limited pool of resources, looking also at the fairness of these systems: - [2] Fonseca, João, et al. ""Setting the right expectations: Algorithmic recourse over time."" Proceedings of the 3rd ACM Conference on Equity and Access in Algorithms, Mechanisms, and Optimization. https://dl.acm.org/doi/pdf/10.1145/3617694.3623251 - [3] Bell, Andrew, et al. ""Fairness in Algorithmic Recourse Through the Lens of Substantive Equality of Opportunity."" arXiv preprint arXiv:2401.16088, https://arxiv.org/pdf/2401.16088 - I also point the authors to some new papers considering human-in-the-loop interfaces for recourse (Recommendation 1, Section 5.1): - [4] Esfahani, Seyedehdelaram, et al. ""Preference Elicitation in Interactive and User-centered Algorithmic Recourse: an Initial Exploration."" Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization. https://dl.acm.org/doi/pdf/10.1145/3627043.3659556 - [5] Koh, Seunghun, Byung Hyung Kim, and Sungho Jo. ""Understanding the User Perception and Experience of Interactive Algorithmic Recourse Customization."" ACM Transactions on Computer-Human Interaction. https://dl.acm.org/doi/pdf/10.1145/3674503",W4386755457,1,0.0,78,6I6fXRTVjm,pool_candidate,Setting the right expectations: Algorithmic recourse over time.
"I would like to point out some potential additional papers on algorithmic recourse which could complement some remarks made by the authors: - Line 182 ""We did not identify any applications evaluated with humans in the loop"": there has been some development in providing human-in-the-loop algorithms to identify better recourse options: - [1] De Toni, Giovanni, et al. ""Personalized Algorithmic Recourse with Preference Elicitation."" Transactions on Machine Learning Research, https://openreview.net/forum?id=8sg2I9zXgO - Recommendation 4, ""Accounting for emergent effects"": there has been some research regarding providing recourse to multiple individuals, where they are competing for a limited pool of resources, looking also at the fairness of these systems: - [2] Fonseca, João, et al. ""Setting the right expectations: Algorithmic recourse over time."" Proceedings of the 3rd ACM Conference on Equity and Access in Algorithms, Mechanisms, and Optimization. https://dl.acm.org/doi/pdf/10.1145/3617694.3623251 - [3] Bell, Andrew, et al. ""Fairness in Algorithmic Recourse Through the Lens of Substantive Equality of Opportunity."" arXiv preprint arXiv:2401.16088, https://arxiv.org/pdf/2401.16088 - I also point the authors to some new papers considering human-in-the-loop interfaces for recourse (Recommendation 1, Section 5.1): - [4] Esfahani, Seyedehdelaram, et al. ""Preference Elicitation in Interactive and User-centered Algorithmic Recourse: an Initial Exploration."" Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization. https://dl.acm.org/doi/pdf/10.1145/3627043.3659556 - [5] Koh, Seunghun, Byung Hyung Kim, and Sungho Jo. ""Understanding the User Perception and Experience of Interactive Algorithmic Recourse Customization."" ACM Transactions on Computer-Human Interaction. https://dl.acm.org/doi/pdf/10.1145/3674503",W4391376763,1,0.0,98,6I6fXRTVjm,pool_candidate,Fairness in Algorithmic Recourse Through the Lens of Substantive Equality of Opportunity.
"I would like to point out some potential additional papers on algorithmic recourse which could complement some remarks made by the authors: - Line 182 ""We did not identify any applications evaluated with humans in the loop"": there has been some development in providing human-in-the-loop algorithms to identify better recourse options: - [1] De Toni, Giovanni, et al. ""Personalized Algorithmic Recourse with Preference Elicitation."" Transactions on Machine Learning Research, https://openreview.net/forum?id=8sg2I9zXgO - Recommendation 4, ""Accounting for emergent effects"": there has been some research regarding providing recourse to multiple individuals, where they are competing for a limited pool of resources, looking also at the fairness of these systems: - [2] Fonseca, João, et al. ""Setting the right expectations: Algorithmic recourse over time."" Proceedings of the 3rd ACM Conference on Equity and Access in Algorithms, Mechanisms, and Optimization. https://dl.acm.org/doi/pdf/10.1145/3617694.3623251 - [3] Bell, Andrew, et al. ""Fairness in Algorithmic Recourse Through the Lens of Substantive Equality of Opportunity."" arXiv preprint arXiv:2401.16088, https://arxiv.org/pdf/2401.16088 - I also point the authors to some new papers considering human-in-the-loop interfaces for recourse (Recommendation 1, Section 5.1): - [4] Esfahani, Seyedehdelaram, et al. ""Preference Elicitation in Interactive and User-centered Algorithmic Recourse: an Initial Exploration."" Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization. https://dl.acm.org/doi/pdf/10.1145/3627043.3659556 - [5] Koh, Seunghun, Byung Hyung Kim, and Sungho Jo. ""Understanding the User Perception and Experience of Interactive Algorithmic Recourse Customization."" ACM Transactions on Computer-Human Interaction. https://dl.acm.org/doi/pdf/10.1145/3674503",,1,,,6I6fXRTVjm,not_in_pool_after_cutoff,Preference Elicitation in Interactive and User-centered Algorithmic Recourse: an Initial Exploration.
"I would like to point out some potential additional papers on algorithmic recourse which could complement some remarks made by the authors: - Line 182 ""We did not identify any applications evaluated with humans in the loop"": there has been some development in providing human-in-the-loop algorithms to identify better recourse options: - [1] De Toni, Giovanni, et al. ""Personalized Algorithmic Recourse with Preference Elicitation."" Transactions on Machine Learning Research, https://openreview.net/forum?id=8sg2I9zXgO - Recommendation 4, ""Accounting for emergent effects"": there has been some research regarding providing recourse to multiple individuals, where they are competing for a limited pool of resources, looking also at the fairness of these systems: - [2] Fonseca, João, et al. ""Setting the right expectations: Algorithmic recourse over time."" Proceedings of the 3rd ACM Conference on Equity and Access in Algorithms, Mechanisms, and Optimization. https://dl.acm.org/doi/pdf/10.1145/3617694.3623251 - [3] Bell, Andrew, et al. ""Fairness in Algorithmic Recourse Through the Lens of Substantive Equality of Opportunity."" arXiv preprint arXiv:2401.16088, https://arxiv.org/pdf/2401.16088 - I also point the authors to some new papers considering human-in-the-loop interfaces for recourse (Recommendation 1, Section 5.1): - [4] Esfahani, Seyedehdelaram, et al. ""Preference Elicitation in Interactive and User-centered Algorithmic Recourse: an Initial Exploration."" Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization. https://dl.acm.org/doi/pdf/10.1145/3627043.3659556 - [5] Koh, Seunghun, Byung Hyung Kim, and Sungho Jo. ""Understanding the User Perception and Experience of Interactive Algorithmic Recourse Customization."" ACM Transactions on Computer-Human Interaction. https://dl.acm.org/doi/pdf/10.1145/3674503",,1,,,6I6fXRTVjm,not_in_pool_after_cutoff,Understanding the User Perception and Experience of Interactive Algorithmic Recourse Customization.
"I have also noted some relevant recent works on causal RL that are missing from the survey:
 - Gun et al. ICML 2022 Provably Efficient Offline Reinforcement Learning for Partially Observable Markov Decision Processes
 - Pace et al. ICML 2023 Delphic Offline Reinforcement Learning under Nonidentifiable Hidden Confounding
 - Gasse et al. TMLR 2023 Using Confounded Data in Latent Model-Based Reinforcement Learning",,4,,,u6YH61BC3Z,not_in_pool_after_cutoff,Gun et al. ICML 2022 Provably Efficient Offline Reinforcement Learning for Partially Observable Markov Decision Processes
"I have also noted some relevant recent works on causal RL that are missing from the survey:
 - Gun et al. ICML 2022 Provably Efficient Offline Reinforcement Learning for Partially Observable Markov Decision Processes
 - Pace et al. ICML 2023 Delphic Offline Reinforcement Learning under Nonidentifiable Hidden Confounding
 - Gasse et al. TMLR 2023 Using Confounded Data in Latent Model-Based Reinforcement Learning",,4,,,u6YH61BC3Z,not_in_pool_after_cutoff,Pace et al. ICML 2023 Delphic Offline Reinforcement Learning under Nonidentifiable Hidden Confounding
"I have also noted some relevant recent works on causal RL that are missing from the survey:
 - Gun et al. ICML 2022 Provably Efficient Offline Reinforcement Learning for Partially Observable Markov Decision Processes
 - Pace et al. ICML 2023 Delphic Offline Reinforcement Learning under Nonidentifiable Hidden Confounding
 - Gasse et al. TMLR 2023 Using Confounded Data in Latent Model-Based Reinforcement Learning",,4,,,u6YH61BC3Z,not_in_pool_after_cutoff,Gasse et al. TMLR 2023 Using Confounded Data in Latent Model-Based Reinforcement Learning
"An interesting part of closely related literature is that on transportability [3]. Transportability is a graphical approach that encodes exactly which mechanisms of the SCM remain unperturbed in a new environment, and provides rules for who such invariances could be leveraged. Definitely worth mentioning here, I believe.",,4,,,XAwGdqrZhw,not_in_pool_after_cutoff,"Pearl, Judea, and Elias Bareinboim. ""External validity: From do-calculus to transportability across populations."" Probabilistic and causal inference: The works of Judea Pearl. 2022. 451-482."
"Valtorta and Shpitser references prove completeness of do-calculus for _inferring Layer 2 quantities from observational data_. A subsequent paper [4] proves completeness for Layer 3 quanties from obs. data. Finally, recent papers [5, 6] show completeness for Layer 2 / 3 from a combination of observational and experimental data. The latter works seem quite related, since RL may often have observational and experimental data simultaneously.",,4,,,XAwGdqrZhw,not_in_pool_after_cutoff,"Shpitser, Ilya, and Judea Pearl. ""What counterfactuals can be tested."" arXiv preprint arXiv:1206.5294 (2012)."
